tmdb_id,imdb_id,title,release_date,runtime,budget_nominal,revenue_nominal,genre_primary,genre_secondary,vote_average,vote_count
299534,tt4154796,Avengers: Endgame,2019-04-24,181,356000000,2799439100,Adventure,Science Fiction,8.238,27861
1234821,tt31036941,Jurassic World Rebirth,2025-06-23,134,180000000,869146189,Science Fiction,Adventure,6.272,3425
533535,tt6263850,Deadpool & Wolverine,2024-07-24,128,200000000,1338073645,Action,Comedy,7.574,8771
496243,tt6751668,Parasite,2019-05-30,133,11363000,257591776,Comedy,Thriller,8.494,20743
519182,tt7510222,Despicable Me 4,2024-06-20,94,100000000,972021410,Action,Animation,7.0,3219
27205,tt1375666,Inception,2010-07-15,148,160000000,839030630,Action,Science Fiction,8.372,39379
911430,tt16311594,F1,2025-06-25,156,300000000,634142436,Action,Drama,7.799,4076
10193,tt0435761,Toy Story 3,2010-06-16,102,200000000,1067316101,Animation,Family,7.807,15776
1038392,tt22898462,The Conjuring: Last Rites,2025-09-03,136,55000000,499256445,Horror,N/A,6.935,1888
767,tt0417741,Harry Potter and the Half-Blood Prince,2009-07-15,153,250000000,933959197,Adventure,Fantasy,7.68,20828
1233413,tt31193180,Sinners,2025-04-16,138,100000000,370000000,Horror,Action,7.499,4641
675,tt0373889,Harry Potter and the Order of the Phoenix,2007-07-08,138,150000000,938212738,Adventure,Fantasy,7.672,20839
1272837,tt32141377,28 Years Later: The Bone Temple,2026-01-14,109,63000000,58522222,Horror,Thriller,7.133,1307
14836,tt0327597,Coraline,2009-02-05,100,60000000,185860104,Animation,Family,7.9,9033
99861,tt2395427,Avengers: Age of Ultron,2015-04-22,141,235000000,1405403694,Action,Adventure,7.273,24493
315635,tt2250912,Spider-Man: Homecoming,2017-07-05,133,175000000,880978185,Action,Adventure,7.331,23219
47971,tt1293847,xXx: Return of Xander Cage,2017-01-13,107,85000000,346118277,Action,Adventure,6.132,9239
1168190,tt33046197,The Wrecking Crew,2026-01-28,125,78500000,89000000,Action,Comedy,7.019,1075
425274,tt4712810,Now You See Me: Now You Don't,2025-11-12,112,90000000,243700000,Crime,Thriller,6.498,1567
16869,tt0361748,Inglourious Basterds,2009-08-02,153,70000000,321457747,Drama,Thriller,8.2,24249
1061474,tt5950044,Superman,2025-07-09,130,225000000,618723803,Science Fiction,Adventure,7.338,4879
4257,tt0362120,Scary Movie 4,2006-04-12,83,40000000,178710620,Comedy,N/A,5.492,3617
1316092,tt32897959,"""Wuthering Heights""",2026-02-11,136,80000000,241601072,Romance,Drama,6.7,1112
216015,tt2322441,Fifty Shades of Grey,2015-02-11,125,40000000,569651467,Drama,Romance,5.866,12409
569094,tt9362722,Spider-Man: Across the Spider-Verse,2023-05-31,140,100000000,690897910,Animation,Action,8.336,8674
1022789,tt22022452,Inside Out 2,2024-06-11,97,200000000,1698863816,Animation,Adventure,7.5,6718
209112,tt2975590,Batman v Superman: Dawn of Justice,2016-03-23,152,250000000,874362803,Action,Adventure,6.002,19034
